IDLink,SentimentTitle,SentimentHeadline
tFrqIR6Chj,0.1488770803314658,-0.03828711773444902
DVAaGErjlF,-0.13058701015266855,0.06501682393809888
OT9UIZm5M2,0.048961679537903445,-0.14940768433324011
lflGp3q2Fj,-0.16367680480649713,-0.14933558629525548
zDYG0SoovZ,-0.07828207589025793,0.11874963682456957
xwr9uOYgEj,0.07486335709510852,0.15473471373055026
X8BqN4I4xZ,0.00014443659750698612,0.09005327104543295
ESXBINkNt4,0.039499816116427174,-0.06583911146542715
uUjZusP8FU,0.025724165240941857,0.1184675730359627
VIxYwukhvK,-0.0008920462316827343,-0.1573621779293897
l3Dpj2u50Q,0.01715127582052324,-0.08334729984118598
jfyxBOF13g,0.033742682590236585,0.03371203816486242
IYcbOcTf6P,-0.097871407238621,-0.07935836026164736
hTe22HCWtU,0.07464528871113663,-0.07366475388433277
FqhiT2wNpN,0.04830552355878976,-0.04513609448676605
CjvbpYX11C,-0.02504465650567663,0.1212873506020967
JQWiOBrh9Z,-0.010909901802001928,-0.11005873311005485
pWqQHVfXv3,-0.0014256377881917987,-0.22753897567330025
PuMC340lVv,-0.17117805780602996,-0.14960318048440768
Gu0df3QxHX,-0.11157442161697045,0.03414180509072542
buyxHRAB2O,-0.0973687514964767,0.037687149221753126
BhOcTD5Su2,0.1471875555717058,0.03262022155826732
eLjGHMUAdd,0.10091952222809047,0.18994919160227514
lvvPy5NP6d,-0.01147885382102992,-0.15644973992612918
cyDWoQL2lO,-0.10174923589396559,0.012163184447221753
NSq5fdSi1G,-0.010928997272245482,-0.02899076576858985
85qWIc2blh,-0.08923712074769208,-0.018159575473616914
golUOJ8mlJ,-0.013124260816533354,0.06816077000174334
ENZFgK1N2B,-0.12203722552175086,0.00823464275383852
3UlWbFDlN3,0.011949470275014456,0.031462577514955826
B66KUMjyM6,-0.018071024845495377,-0.10426681498712814
XUOaACxkex,-0.06356712325892849,-0.11214409248625953
90LQYGOLJe,-0.013077974669550511,-0.030720331537443142
66u6kjadpY,-0.005888531373573676,-0.06434149659990673
qG3hUONMbq,-0.018557648408072124,0.0634198145822325
Cfxeb52jkH,0.06064390513388441,0.0033440787364205915
qKSt9gOTzv,-0.012553877595063954,0.04631965985577748
MVaKNVVTfV,0.0071884272279451635,-0.1718352866688077
AiSOqy1D6E,0.016320031152619124,-0.026429035381465987
h3YeKl4iEa,-0.02343441256119079,-0.16462749913384037
qH75SbjLV5,-0.295048367608526,-0.15069323542974752
8tMtfUiIvY,-0.01481117159126969,0.006123543724026612
lRECMiFvsF,-0.017109088038741414,0.17391015699782814
2Jv7ADWzps,-0.0293461980898459,-0.04008241414145536
RXHuXSKdN1,-0.1107072932853766,0.06868504216039928
72eBI05rkC,-0.0034255526501048763,-0.136778706679975
aZAL2OUopN,0.05206783060120846,-0.04911360834609804
SrQmSub7Su,0.14464876558849782,0.03991930091508656
jGl5QVFq62,-0.25291978989103714,-0.09113630310599775
gNFOSMIprN,0.012590325131507245,-0.05630118040512523
z1FwdySC8b,0.043968910905422515,0.029554942351974263
NUixgOQ2Ds,0.15627094393987387,-0.19788500915838558
kVzfO1qEF6,0.012847503628215472,-0.07962593396737588
JqWJong3uG,0.1557110987591461,-0.0639848371437004
